moment,agency,agency predicted,social, social predicted
We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip,1,0,1,1
When i got to the train station it just pulled up and i was able to get a seat.,0,1,0,0
The rain stopped and beautiful sunlight appeared so I went for a walk and took some photographs.,1,0,0,0
A good win for my sports team,0,0,1,0
I beat the final boss in Dark Souls.,1,1,0,1
My cat has been sick and yesterday she ate some food and scampered around the apartment.,0,1,0,0
I got to eat some really delicious noodles that my mom made.,1,1,1,0
I was told that the school I teach it will be closed all week; but teachers will still be paid.,0,1,0,0
I was happy when I read the email of a requester giving me a $3 bonus.,1,1,1,0
In the last 24 hours receiving my raise at work made me very happy,0,1,0,0
That coffee was already made when I woke up early.,0,1,0,0
After a long wait; my Amazon Payments account was finally verified.,0,1,0,0
I WAS HAPPY TO HEAR THAT A FRIEND OF MINE HAD A HEALTHY BABY.,0,1,1,1
My dog behaved when confronted by another dog on our daily walk.,0,0,1,0
I tried a new recipe for supper and everyone enjoyed it.,1,1,1,0
That the dogs were already taken outside to potty so I didn't have to go out in the cold to do it myself.,1,1,1,0
my mom's birthday celebration and wedding celebration and my dad birthday celebration i enjoyed the past month,0,1,1,1
We have conducting the party of my mothers birthday the in last month the party was very enjoyable movement on the day me and my family members enjoyed lots and lots in an parties,0,1,1,1
One of my students hugged me at the end of a lesson and said 'When I grow up; I want to be you!',1,0,1,1
One moment that made me happy this past month was taking my family on an outing to drink and hit golf balls.,1,1,1,0
My husband give me a stylish watch.,1,0,1,1
My dogs made me happy,1,0,0,0
I went and saw my niece's play.,1,1,1,0
My small booklet on Peritoneal Dialysis is now available in print form on Amazon.com as of last night.,1,0,0,0
I received a very favorable review and additional merit raise at work,0,1,0,0
I was happy when I got a raise at work.,0,1,0,0
I got a promotion at work; which also came with a pay raise and a new job title.,1,0,0,0
Going out to a famous disco and listen to one of the best dj's in the world.,1,1,1,0
I was told by my boss that I was up for a promotion this month.,1,0,1,1
My wife and I received news that we would be getting money back this year on our taxes; which is most unexpected; and we are thrilled.,0,1,1,1
I am blessed with a baby girl,0,1,1,1
I was offered an exciting professional opportunity.,0,1,0,0
I received a compliment on a presentation I made at work.,0,1,1,0
I was happy when I was able to take my baby outside for a walk in his stroller.,1,1,1,0
I got off of work.,1,0,0,0
one hour before i go to shop and help the old man cross the road,1,1,1,0
I come back to me home from office and i see my newphew at home who came from austria after 3 years.,0,1,1,0
I had the opportunity to watch my daughter speak in front of her entire school at an assembly this morning.,1,0,1,1
My wife made a burger for me.,1,0,1,1
It rained so I didn't have to do a bunch of yard work.,1,0,0,0
I was able to use a new process to more efficiently complete a task at work,1,1,1,0
When I am getting ready to go to my office; My parents send off with cute smile and say 'Have a nice day and Take care',0,1,1,1
When I am getting ready to go my office; My parents send off with cute smile and say 'Have a nice day and Take care.',0,1,1,1
I found out that I was going to get a promotion at work which I've been waiting for a long while on.,0,1,1,0
My family got a new puppy.,1,0,1,1
A long pray for my wished to Allah in mosque makes my wish fulfilled,0,1,0,0
I was able to control my feelings and anger while having a hard night with my kid.,1,1,1,0
My kids were able to play outside for a while before it rained; and therefore got some energy out!,0,1,1,0
Today I was very tired after my day's work.Seeing my tiredness my mother decided to make my favourite food to relieve me.I was so surprised that she cooked 7 dishes alone within a small period.I was very happy to see that and I ate till I could finally stop eating,0,1,1,1
My daughter gave me a hundred hugs and kisses last night before bed; being super snuggly and sweet.,1,0,1,1
MY MOMS BIRTHDAY CELEBRATION SO I ENJOYED THE PARTY IN MY HOME,1,0,1,1
I went to a judge a barbecue cook off and got to taste a lot of good food; which last night was fajitas.,1,1,1,0
When I am getting ready to go to my office; My parents send off with cute smile and say 'Have a nice day and Take care',0,1,1,1
I watched a good movie with one of my favorite actors.,1,1,1,0
I was walking on the street doing some grocery shopping and I gave a glass of fresh and chilled watermelon juice to a poor and thirsty man on the road.,1,1,1,0
We all went to watch Beauty and the Beast to theater.,1,1,1,0
I took a piece of paper and got my cat to chase it and she had so much fun she started purring.,1,1,1,0
I started playing Bob Marley's 'Three Little Birds' on the ukulele and both my kids started singing with me.,1,1,1,0
I got out of work and knew that I had the next day off; (Sunday).,0,1,0,0
I went out to dinner; and I saw a server who remembered my favorite meal.,1,1,1,0
Last night my cat slept peacefully next to me all night; then smiled at me and put his paw lovingly on my hand in the morning when I woke up.,1,0,0,0
My spouse asked me if I wanted to go to a movie with her.,0,1,1,1
We are working on training our dog; and I was happy when she successfully reacted in the appropriate way.,1,1,1,0
I was having dinner with my parents and my dad said something really funny that had us laughing for a long time.,0,1,1,1
my family going to temple,0,1,1,1
I was able to have steak on the grill made for me; so delicious to have a home cooked meal.,0,1,0,0
The person taking my order at the drive-thru was very friendly.,1,0,1,0
I received a text from a friend that I hadn't heard from in a long time.,0,1,1,1
Eating a special treat with my significant other,1,1,1,0
An event that made me happy in the past 24 hours was being able to cook a nice meal for people to enjoy.,1,1,1,0
My student loan payments didn't bounce and my bank account isn't negative.,1,0,0,0
I was was served breakfast in bed today.,1,1,1,0
I get a child free night tonight at a dinner party.,1,0,1,1
Noticing Girl Scouts selling cookies on my way home and buying some.,1,0,1,1
My husband told me we can take a trip to Europe in September.,0,1,1,1
My fiance texted me and asked if we wanted to go on a date night after he was off work.,1,0,1,1
I was romantically engaged with my boyfriend in a lonely place.,0,1,1,1
When my hit amount hit $91.00 mark today for this week I was extremely happy.,1,1,1,0
My brother came home from medical school for the weekend; and we were able to spend time together for the first time in 6 months.,0,1,1,1
I received a phone call from a friend I had not heard from in quite some time.,0,1,1,1
I have delivered on the baby child .,1,1,1,0
i go to temple and i say the poor man;help is very hungary and i help for him i am very happy,1,1,1,0
Laughing at a hilarious thing our 4-year-old said at dinner.,1,1,1,0
